HH:MM:SS   KB/s in  KB/s out
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:20      0.00      0.00
21:13:21      0.00      0.00
21:13:21      0.00      0.00
21:13:21      0.00      0.00
21:13:21      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:21      0.00      0.00
21:13:21      0.00      0.00
21:13:21      0.00      0.00
21:13:21      0.00      0.00
21:13:21      0.00      0.00
21:13:22      0.00      0.00
21:13:22      0.00      0.00
21:13:22      0.00      0.00
21:13:22      0.00      0.00
21:13:22      0.00      0.00
21:13:22      0.00      0.00
21:13:22      0.00      0.00
21:13:22      1.22      0.64
21:13:22      0.00      0.00
21:13:23      0.00      0.00
21:13:23      0.00      0.00
21:13:23      0.00      0.00
21:13:23      0.00      0.00
21:13:23      0.00      0.00
21:13:23      0.00      0.00
21:13:23      0.00      0.00
21:13:23      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:24      0.00      0.00
21:13:25      0.00      0.00
21:13:25      0.00      0.00
21:13:25      0.00      0.00
21:13:25      0.00      0.00
21:13:25      1.16      1.18
21:13:25      0.00      0.00
21:13:25      0.00      0.00
21:13:25      0.00      0.00
21:13:25      0.00      0.00
21:13:25      0.00      0.00
21:13:26      0.00      0.00
21:13:26      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:26      0.00      0.00
21:13:26      0.00      0.00
21:13:26      0.00      0.00
21:13:26      0.00      0.00
21:13:26      0.00      0.00
21:13:26      0.00      0.00
21:13:26      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:27      0.00      0.00
21:13:28      0.00      0.00
21:13:28      0.00      0.00
21:13:28      0.00      0.00
21:13:28      0.00      0.00
21:13:28      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:28      0.00      0.00
21:13:28      0.00      0.00
21:13:28      0.00      0.00
21:13:28      0.00      0.00
21:13:28      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:29      0.00      0.00
21:13:30      0.00      0.00
21:13:30      0.00      0.00
21:13:30      0.00      0.00
21:13:30      0.00      0.00
21:13:30      0.00      0.00
21:13:30      0.00      0.00
21:13:30      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:30      0.00      0.00
21:13:30      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:31      0.00      0.00
21:13:32      0.00      0.86
21:13:32      1.73      0.86
21:13:32      0.00      0.00
21:13:32      0.00      0.00
21:13:32      0.00      0.00
21:13:32      0.00      0.00
21:13:32      0.00      0.00
21:13:32      4.35     33.39
21:13:32    126.71    829.00
21:13:32     92.34    607.75
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:33    105.67    698.18
21:13:33    124.13    821.36
21:13:33    131.41    865.13
21:13:33    122.40    808.78
21:13:33    131.08    862.98
21:13:33    135.96    895.41
21:13:33    116.67    768.20
21:13:33    115.49    769.59
21:13:33    170.48   1116.42
21:13:33    339.53   2240.60
21:13:34    521.83   3440.33
21:13:34    650.33   4289.11
21:13:34    707.59   4668.02
21:13:34    659.57   4348.76
21:13:34    691.11   4560.59
21:13:34    578.72   3815.48
21:13:34    683.91   4509.27
21:13:34    670.00   4418.81
21:13:34    585.62   3864.86
21:13:34    500.14   3297.26
21:13:35    536.79   3538.94
21:13:35    501.79   3312.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:35    671.51   4427.48
21:13:35    623.29   4109.44
21:13:35    719.71   4747.98
21:13:35    515.47   3406.31
21:13:35    753.17   4960.62
21:13:35    783.53   5168.82
21:13:35    786.86   5186.97
21:13:35    807.49   5325.60
21:13:36    302.28   2000.29
21:13:36      0.00      0.00
21:13:36     48.74    315.96
21:13:36    361.02   2383.59
21:13:36    723.70   4773.00
21:13:36    700.74   4618.95
21:13:36    523.37   3453.00
21:13:36    682.79   4504.46
21:13:36    688.06   4535.38
21:13:36    671.25   4427.05
21:13:37    791.53   5222.88
21:13:37    772.82   5096.95
21:13:37    814.26   5370.26
21:13:37    588.40   3879.45
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:37    753.37   4969.92
21:13:37     61.56    410.00
21:13:37      1.03      4.40
21:13:37    230.26   1518.65
21:13:37    625.64   4126.27
21:13:37    718.27   4737.19
21:13:38    737.34   4860.36
21:13:38    806.43   5322.69
21:13:38    745.79   4914.55
21:13:38    693.08   4573.59
21:13:38    826.75   5452.60
21:13:38    748.02   4929.59
21:13:38    646.23   4264.64
21:13:38    738.61   4871.29
21:13:38    658.92   4343.15
21:13:39    760.49   5015.60
21:13:39    681.44   4494.23
21:13:39    677.39   4467.55
21:13:39    648.40   4277.63
21:13:39    655.78   4326.31
21:13:39    789.74   5208.55
21:13:39    836.54   5515.89
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:39    804.48   5304.45
21:13:39    702.67   4635.55
21:13:39    640.33   4223.15
21:13:40    719.44   4746.18
21:13:40    769.42   5073.20
21:13:40    698.04   4605.05
21:13:40    693.24   4569.52
21:13:40    803.45   5300.21
21:13:40    734.47   4845.29
21:13:40    829.37   5469.87
21:13:40    669.19   4412.18
21:13:40    564.75   3725.94
21:13:40    731.50   4821.84
21:13:41    722.13   4765.19
21:13:41    723.53   4770.56
21:13:41    788.61   5206.46
21:13:41    523.19   3446.44
21:13:41    751.16   4952.83
21:13:41    811.31   5350.78
21:13:41    774.19   5104.68
21:13:41    801.04   5285.62
21:13:41    849.11   5600.06
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:41    697.15   4597.87
21:13:42    780.32   5146.42
21:13:42    875.10   5768.92
21:13:42    822.04   5421.54
21:13:42    702.98   4638.91
21:13:42    762.56   5027.99
21:13:42    715.79   4719.54
21:13:42    842.92   5561.80
21:13:42    843.10   5557.90
21:13:42    753.02   4966.32
21:13:42    669.79   4417.44
21:13:43    722.56   4768.04
21:13:43    875.57   5773.28
21:13:43    800.07   5276.67
21:13:43    803.85   5300.32
21:13:43    834.90   5508.91
21:13:43    680.07   4485.25
21:13:43    808.07   5326.14
21:13:43    781.11   5149.04
21:13:43    842.03   5555.93
21:13:43    844.38   5566.31
21:13:44    766.70   5059.14
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:44    729.71   4810.03
21:13:44    855.92   5645.01
21:13:44    756.47   4990.37
21:13:44    799.20   5269.60
21:13:44    822.79   5431.91
21:13:44    339.14   2232.57
21:13:44    510.92   3370.93
21:13:44    676.65   4461.39
21:13:44    665.06   4387.50
21:13:45    813.89   5366.52
21:13:45    860.85   5676.22
21:13:45    719.35   4745.56
21:13:45    497.22   3279.30
21:13:45    614.14   4049.12
21:13:45    705.79   4657.39
21:13:45    616.07   4061.82
21:13:45    711.75   4695.47
21:13:45    651.79   4298.69
21:13:45    623.96   4113.86
21:13:46    522.34   3446.23
21:13:46    664.97   4384.33
21:13:46    736.99   4859.31
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:46    582.20   3839.74
21:13:46    505.12   3331.39
21:13:46    622.31   4105.53
21:13:46    695.59   4587.56
21:13:46    759.20   5008.36
21:13:46    550.26   3630.58
21:13:46    709.98   4679.64
21:13:47    694.83   4583.83
21:13:47    635.03   4188.15
21:13:47    403.09   2658.49
21:13:47    625.73   4125.54
21:13:47    643.04   4239.72
21:13:47    638.78   4214.17
21:13:47    679.34   4481.71
21:13:47    784.10   5170.04
21:13:47    753.44   4970.42
21:13:47    791.63   5220.98
21:13:48    589.91   3893.44
21:13:48    864.60   5699.44
21:13:48    752.38   4959.53
21:13:48    587.02   3872.80
21:13:48    664.91   4385.26
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:48    724.91   4782.26
21:13:48    774.14   5103.06
21:13:48    555.05   3663.23
21:13:48    778.95   5134.81
21:13:48    659.60   4350.20
21:13:49    771.57   5091.25
21:13:49    462.61   3051.24
21:13:49      0.00      0.00
21:13:49      0.00      0.00
21:13:49      0.00      0.00
21:13:49      0.00      0.00
21:13:49      0.00      0.00
21:13:49      0.00      0.00
21:13:49      0.00      0.00
21:13:50      0.00      0.00
21:13:50      0.00      0.00
21:13:50      0.00      0.00
21:13:50      0.00      0.00
21:13:50      0.00      0.00
21:13:50      0.00      0.00
21:13:50      0.00      0.00
21:13:50      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:50      0.00      0.00
21:13:51      0.00      0.00
21:13:51      0.00      0.00
21:13:51      0.00      0.00
21:13:51      0.00      0.00
21:13:51      0.00      0.00
21:13:51      0.00      0.00
21:13:51      0.00      0.00
21:13:51      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:52      0.00      0.00
21:13:53      0.00      0.00
21:13:53      0.00      0.00
21:13:53      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:53      0.00      0.00
21:13:53      0.00      0.00
21:13:53      0.00      0.00
21:13:53      0.00      0.00
21:13:53      0.00      0.00
21:13:53      0.00      0.00
21:13:54      0.00      0.00
21:13:54      0.00      0.00
21:13:54      0.00      0.00
21:13:54      0.00      0.00
21:13:54      0.00      0.00
21:13:54      0.00      0.00
21:13:54      0.00      0.00
21:13:54      3.38      0.00
21:13:54      0.00      0.00
21:13:55      0.00      0.00
21:13:55      0.00      0.00
21:13:55      0.00      0.00
21:13:55      0.00      0.00
21:13:55      0.00      0.00
21:13:55      0.00      0.00
21:13:55      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:55      0.00      0.00
21:13:55      0.00      0.00
21:13:55      0.00      0.00
21:13:56      0.00      0.00
21:13:56      0.00      0.00
21:13:56      0.00      0.00
21:13:56      0.00      0.00
21:13:56      0.00      0.00
21:13:56      0.00      0.00
21:13:56      0.00      0.00
21:13:56      0.00      0.00
21:13:56      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
21:13:57      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:58      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:13:59      0.00      0.00
21:14:00      0.00      0.00
21:14:00      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:00      0.00      0.00
21:14:00      0.00      0.00
21:14:00      0.00      0.00
21:14:00      0.00      0.00
21:14:00      0.00      0.00
21:14:00      0.00      0.00
21:14:00      0.00      0.00
21:14:00      0.00      0.00
21:14:01      0.00      0.00
21:14:01      0.00      0.00
21:14:01      0.00      0.00
21:14:01      0.00      0.00
21:14:01      0.00      0.00
21:14:01      0.00      0.00
21:14:01      0.00      0.00
21:14:01      0.00      0.00
21:14:01      0.00      0.00
21:14:02      0.00      0.00
21:14:02      0.00      0.00
21:14:02      0.00      0.00
21:14:02      0.00      0.00
21:14:02      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:02      0.00      0.00
21:14:02      0.00      0.00
21:14:02      0.00      0.00
21:14:02      0.00      0.00
21:14:02      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:03      0.00      0.00
21:14:04      0.00      0.00
21:14:04      0.00      0.00
21:14:04      0.00      0.00
21:14:04      0.00      0.00
21:14:04      0.00      0.00
21:14:04      0.00      0.00
21:14:04      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:04      0.00      0.00
21:14:04      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:05      0.00      0.00
21:14:06      0.00      0.00
21:14:06      0.00      0.00
21:14:06      0.00      0.00
21:14:06      0.00      0.00
21:14:06      0.00      0.00
21:14:06      0.00      0.00
21:14:06      0.00      0.00
21:14:06      0.00      0.00
21:14:07      0.00      0.00
21:14:07      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:07      0.00      0.00
21:14:07      0.00      0.00
21:14:07      0.00      0.00
21:14:07      0.00      0.00
21:14:07      0.00      0.00
21:14:07      0.00      0.00
21:14:07      0.00      0.00
21:14:07      0.00      0.00
21:14:08      0.00      0.00
21:14:08      0.00      0.00
21:14:08      0.00      0.00
21:14:08      0.00      0.00
21:14:08      0.00      0.00
21:14:08      0.00      0.00
21:14:08      0.00      0.00
21:14:08      0.00      0.00
21:14:08      0.00      0.00
21:14:09      0.00      0.00
21:14:09      0.00      0.00
21:14:09      1.16      0.60
21:14:09      0.00      0.00
21:14:09      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:09      0.00      0.00
21:14:09      0.00      0.00
21:14:09      0.00      0.00
21:14:09      0.00      0.00
21:14:09      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:10      0.00      0.00
21:14:11      0.00      0.00
21:14:11      0.00      0.00
21:14:11      0.00      0.00
21:14:11      0.00      0.00
21:14:11      0.00      0.00
21:14:11      0.00      0.00
21:14:11      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:11      0.00      0.00
21:14:11      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:12      0.00      0.00
21:14:13      0.00      0.00
21:14:13      0.00      0.00
21:14:13      0.00      0.00
21:14:13      0.00      0.00
21:14:13      0.00      0.00
21:14:13      0.00      0.00
21:14:13      0.00      0.00
21:14:13      0.00      0.00
21:14:13      0.00      0.00
21:14:14      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:14      0.00      0.00
21:14:14      0.00      0.00
21:14:14      0.00      0.00
21:14:14      0.00      0.00
21:14:14      0.00      0.00
21:14:14      0.00      0.00
21:14:14      0.00      0.00
21:14:14      0.00      0.00
21:14:14      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:15      0.00      0.00
21:14:16      0.00      0.00
21:14:16      0.00      0.00
21:14:16      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:16      0.00      0.00
21:14:16      0.00      0.00
21:14:16      0.00      0.00
21:14:16      0.00      0.00
21:14:16      0.00      0.00
21:14:16      0.00      0.00
21:14:16      0.00      0.00
21:14:17      0.00      0.00
21:14:17      0.00      0.00
21:14:17      0.00      0.00
21:14:17      0.00      0.00
21:14:17      0.00      0.00
21:14:17      0.00      0.00
21:14:17      0.00      0.00
21:14:17      0.00      0.00
21:14:17      0.00      0.00
21:14:18      0.00      0.00
21:14:18      0.00      0.00
21:14:18      0.00      0.00
21:14:18      0.00      0.00
21:14:18      0.00      0.00
21:14:18      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:18      0.00      0.00
21:14:18      0.00      0.00
21:14:18      0.00      0.00
21:14:19      0.00      0.00
21:14:19      0.00      0.00
21:14:19      0.00      0.00
21:14:19      0.00      0.00
21:14:19      0.00      0.00
21:14:19      0.00      0.00
21:14:19      0.00      0.00
21:14:19      0.00      0.00
21:14:19      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
21:14:20      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:21      0.00      0.00
21:14:21      0.00      0.00
21:14:21      0.00      0.00
21:14:21      0.00      0.00
21:14:21      0.00      0.00
21:14:21      0.00      0.00
21:14:21      0.00      0.00
21:14:21      1.72      0.57
21:14:21      0.00      0.00
21:14:21      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:22      0.00      0.00
21:14:23      0.00      0.00
21:14:23      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:23      0.00      0.00
21:14:23      0.00      0.00
21:14:23      0.00      0.00
21:14:23      0.00      0.00
21:14:23      0.00      0.00
21:14:23      0.00      0.00
21:14:23      0.00      0.00
21:14:23      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:24      0.00      0.00
21:14:25      0.00      0.00
21:14:25      0.00      0.00
21:14:25      0.00      0.00
21:14:25      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:25      0.00      0.00
21:14:25      0.00      0.00
21:14:25      0.00      0.00
21:14:25      0.00      0.00
21:14:25      0.00      0.00
21:14:26      0.00      0.00
21:14:26      0.00      0.00
21:14:26      0.00      0.00
21:14:26      0.00      0.00
21:14:26      0.58      0.58
21:14:26      0.00      0.00
21:14:26      0.00      0.00
21:14:26      0.00      0.00
21:14:26      0.00      0.00
21:14:26      0.00      0.00
21:14:27      0.00      0.00
21:14:27      0.00      0.00
21:14:27      0.00      0.00
21:14:27      0.00      0.00
21:14:27      0.00      0.00
21:14:27      0.00      0.00
21:14:27      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:27      0.00      0.00
21:14:27      0.00      0.00
21:14:27      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:28      0.00      0.00
21:14:29      0.00      0.00
21:14:29      0.00      0.00
21:14:29      0.00      0.00
21:14:29      0.00      0.00
21:14:29      0.00      0.00
21:14:29      0.00      0.00
21:14:29      0.00      0.00
21:14:29      0.00      0.00
21:14:29      0.00      0.00
  Time          enp0s3      
HH:MM:SS   KB/s in  KB/s out
21:14:29      0.00      0.00
21:14:30      0.00      0.00
21:14:30      0.00      0.00
21:14:30      0.00      0.00
21:14:30      0.00      0.00
21:14:30      0.00      0.00
21:14:30      0.00      0.00
21:14:30      0.00      0.00
21:14:30      0.00      0.00
21:14:30      0.00      0.00
21:14:31      0.00      0.00
21:14:31      0.00      0.00
21:14:31      0.00      0.00
21:14:31      0.00      0.00
